20151101
23         CREUSE                        
LIEU-DIT   LE CHEZALET                
LIEU-DIT   LA CHEZOTTE                
LIEU-DIT   CHIER CHABANNE             
LIEU-DIT   CHIER RENAUD               
LIEU-DIT   LES CHIERS                 
LIEU-DIT   DES CITROUILLES            
LIEU-DIT   CLAMEYRAT                  
LIEU-DIT   DU CLIDOUX                 
LIEU-DIT   LES CLUZAUDS               
LIEU-DIT   AU COLOMBIER               
LIEU-DIT   COMBE GUERET               
LIEU-DIT   COMBE NOIRE                
LIEU-DIT   LE COMBEAU                 
LIEU-DIT   LA COMBETTE                
LIEU-DIT   LE COMMUNAL                
LIEU-DIT   DE LA COTE                 
LIEU-DIT   LA COTE                    
LIEU-DIT   COTE DES ANGES             
LIEU-DIT   COTE GIRAUD                
LIEU-DIT   COUDERT                    
LIEU-DIT   DU COUDERT                 
LIEU-DIT   LE COUDERT                 
LIEU-DIT   COUDERT VIEUX              
LIEU-DIT   COUTURE                    
LIEU-DIT   COUTURE GIRAUD             
LIEU-DIT   DES COUTURES               
LIEU-DIT   LA CROIX                   
LIEU-DIT   CROQUE GEAI                
LIEU-DIT   LE CROUZAT                 
LIEU-DIT   DERRIERE LA GRANGE         
LIEU-DIT   DES DOUGEAUD               
LIEU-DIT   LES EMINADES               
LIEU-DIT   DE L ETANG                 
LIEU-DIT   L ETANG D AYEN             
LIEU-DIT   ETANG DE FELINAS           
LIEU-DIT   L ETANG DES MOLLES         
LIEU-DIT   FAGNAUDOUX                 
LIEU-DIT   FAUGOU                     
LIEU-DIT   LA FELINAS                 
LIEU-DIT   DES FLEAUX                 
LIEU-DIT   LA FOND                    
LIEU-DIT   FOND BUE                   
LIEU-DIT   FONDS DE COMBE             
LIEU-DIT   FONSEAUX                   
LIEU-DIT   LA FONTAINE LA GOUTTE      
LIEU-DIT   FONTENAILLES               
LIEU-DIT   LA GANE                    
LIEU-DIT   GANE LA RODE               
LIEU-DIT   GANNE AU BRUT              
LIEU-DIT   AUX GARDES                 
LIEU-DIT   GARENAUD                   
LIEU-DIT   LA GARENNE                 
LIEU-DIT   DES GARENNES               
LIEU-DIT   GASNE MORTE                
LIEU-DIT   DE GAYADOUX                
LIEU-DIT   LA GOUILLE                 
LIEU-DIT   GOUTTE DE RIOUX            
LIEU-DIT   GOUTTE MEILLANT            
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LES GOUYES                 
LIEU-DIT   GRAND CHEMIN               
LIEU-DIT   LE GRAND PRE DE CHAMPEINE  
LIEU-DIT   LE GRAND PRE DE PETIT AYEN 
LIEU-DIT   LA GRANDE COURBE           
LIEU-DIT   GRANDE COUTURE             
LIEU-DIT   GRANDE GOUTTE              
LIEU-DIT   LA GRANDE TERRE            
LIEU-DIT   LA GRANGE                  
LIEU-DIT   LES GRANGES                
LIEU-DIT   DU JARDIN                  
LIEU-DIT   LA JUMENT                  
LIEU-DIT   LAFONT                     
LIEU-DIT   LA LAMPE                   
LIEU-DIT   LAS BOIGEAS                
LIEU-DIT   LAS FOND                   
LIEU-DIT   LAS FONTS                  
LIEU-DIT   LAS PERILLAS               
LIEU-DIT   LAS PLANCHAS               
LIEU-DIT   LATTE                      
LIEU-DIT   LAVAUD                     
LIEU-DIT   LA LONGE                   
LIEU-DIT   LONGUERAGNE                
LIEU-DIT   LE MAGANACHOU              
LIEU-DIT   LES MAILLERS               
LIEU-DIT   DE MAISON                  
LIEU-DIT   DES MAS                    
LIEU-DIT   LE MAS                     
LIEU-DIT   LE MAS DU THEIL            
LIEU-DIT   LE MAS ROZIER              
LIEU-DIT   MASSENON                   
LIEU-DIT   LE MAZAUD                  
LIEU-DIT   MAZEROLLAS                 
LIEU-DIT   DE METOULIERS              
LIEU-DIT   DU MIER                    
LIEU-DIT   MOLLES                     
LIEU-DIT   MONTAURIAUX                
LIEU-DIT   LES MOUILLERES             
LIEU-DIT   DES MOUILLERES DE FONTENAI 
LIEU-DIT   DES MOUILLERES DE MOLLES   
LIEU-DIT   DE MOUJAUD                 
LIEU-DIT   LES MOULARDS               
LIEU-DIT   MOULETAS                   
LIEU-DIT   MOULIN NEUF                
LIEU-DIT   NOLLAS                     
LIEU-DIT   NOUAUD                     
LIEU-DIT   DU NOUHAUD                 
LIEU-DIT   LE NOYAT                   
LIEU-DIT   DES ORMES                  
LIEU-DIT   DE L OUCHE                 
LIEU-DIT   L OUCHE                    
LIEU-DIT   LES OURTAUX                
LIEU-DIT   LE PARC                    
LIEU-DIT   PATAURIOT                  
LIEU-DIT   PATURAL CHENEBOUX          
LIEU-DIT   PATURAL DE MOLLES          
LIEU-DIT   PATURAL DU CHEMIN          
LIEU-DIT   PATURAL GRAND              
LIEU-DIT   PECHERIE                   
LIEU-DIT   LA PELADE                  
LIEU-DIT   PELADE D ORGE              
LIEU-DIT   PELADE DES TAILLADIS       
LIEU-DIT   DES PELADES                
LIEU-DIT   LE PELET                   
LIEU-DIT   DES PELLADES               
LIEU-DIT   LES PELLADES               
LIEU-DIT   LE PERASSOUX               
LIEU-DIT   PEUX DE CHANTEMILLE        
LIEU-DIT   PEYRAHUDE                  
LIEU-DIT   PIERRE DU CORS             
LIEU-DIT   PIERRE LAMIER              
LIEU-DIT   PIERRE PLATE               
LIEU-DIT   PIERREFITTE                
LIEU-DIT   LES PLANARDS               
LIEU-DIT   LA PLANCHE                 
LIEU-DIT   LES PLATS                  
LIEU-DIT   DE POGNAT                  
LIEU-DIT   DES POMMIERS               
LIEU-DIT   LE PONT                    
LIEU-DIT   DU POUX                    
LIEU-DIT   PRA BOURGNOUX              
LIEU-DIT   LES PRADAUDS               
LIEU-DIT   PRADAUDS                   
LIEU-DIT   LES PRADEAUX               
LIEU-DIT   PRE CLOS                   
LIEU-DIT   LE PRE DE LA DAME D EN BAS 
LIEU-DIT   PRE DES ORMES              
LIEU-DIT   PRE DU PONT                
LIEU-DIT   PRE DU STADE               
LIEU-DIT   PRE GIRY                   
LIEU-DIT   PRE LANIER                 
LIEU-DIT   PRE MANIER                 
LIEU-DIT   PRE MAURY                  
LIEU-DIT   PRE NEUF                   
LIEU-DIT   PRE RAYNAUD                
LIEU-DIT   PRE TAMPOUX                
LIEU-DIT   PRE VILLATTE               
LIEU-DIT   DU PRUNIER                 
LIEU-DIT   PUY BAUBIER                
LIEU-DIT   PUY DE CORDE               
LIEU-DIT   PUY DE SERRA               
LIEU-DIT   PUY TRABAILLON             
LIEU-DIT   LE PY                      
LIEU-DIT   DES QUAIRES                
LIEU-DIT   DES QUARTELADES            
LIEU-DIT   QUATRE CHARRIERES          
LIEU-DIT   QUERINIER                  
LIEU-DIT   LES QUINZES TOISES         
LIEU-DIT   LE REBOULET                
LIEU-DIT   LE RIBOT                   
LIEU-DIT   LES RIOUX                  
LIEU-DIT   DES RIVAILLES              
LIEU-DIT   LES RIVIERES               
LIEU-DIT   ROCHE FUMADE               
LIEU-DIT   LES ROCHERS                
LIEU-DIT   LES SAGNARDS               
LIEU-DIT   LE SAGNAT                  
LIEU-DIT   LA SAGNE                   
LIEU-DIT   SAGNE CHAUD                
LIEU-DIT   SAGNE DERRIERE             
LIEU-DIT   LES SAGNES                 
LIEU-DIT   LES SAGNETTES              
LIEU-DIT   LA SAGNOLLE                
LIEU-DIT   DES SAUZES                 
LIEU-DIT   LES SEBRAUDS               
LIEU-DIT   LES SOUCHAUDS              
LIEU-DIT   LA SOUCHE                  
LIEU-DIT   SOUS LA CHAUSSEE           
LIEU-DIT   SOUS LES BUIGES            
LIEU-DIT   SOUS LES COUCHES           
LIEU-DIT   SOUS MAISON                
LIEU-DIT   DES TAUREAUX               
LIEU-DIT   TEILLE A QUEUE             
LIEU-DIT   TERRE DE MOLLES            
LIEU-DIT   TERRE NOIRE                
LIEU-DIT   TREIZE CHARTOUX            
LIEU-DIT   LA TREMOUILLE              
LIEU-DIT   LA TRIMOUILLE              
LIEU-DIT   LA TUILERIE                
LIEU-DIT   DES VERGNASSOUS            
LIEU-DIT   VERGNASSOUS                
LIEU-DIT   DES VERGNES D AYEN         
LIEU-DIT   DES VERGNES DE MOLLES      
LIEU-DIT   DES VERGNES DU COUDERT     
LIEU-DIT   LES VERGNES MARTIN         
LIEU-DIT   LA VERGNETTE               
LIEU-DIT   LES VIEUX ROCHERS          
LIEU-DIT   VILLACHAIZE                
LIEU-DIT   VILLEVALEIX                
LIEU-DIT   DU VIVIER                  
LIEU-DIT   LA GARGOUILLE              
LIEU-DIT   BOIS DES BRUYERES          
LIEU-DIT   AU BOURG                   
LIEU-DIT   CHAMPEAUBERT               
LIEU-DIT   CHAMPOLAUD                 
LIEU-DIT   LES CHARBONNIERS           
LIEU-DIT   LES CHASSAGNES             
LIEU-DIT   CHER LASNIER               
LIEU-DIT   CHEZ DUBREUIL              
LIEU-DIT   LE CLOUD                   
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES COTES                  
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LES COUTURES               
LIEU-DIT   LES CREUX                  
LIEU-DIT   L ETANG                    
LIEU-DIT   FELINAS                    
LIEU-DIT   LA GANNE                   
LIEU-DIT   LES GARDES                 
LIEU-DIT   GRAND AYEN                 
LIEU-DIT   DES HIERS                  
LIEU-DIT   LAS FOSSAS                 
LIEU-DIT   LAS GOUTTAS                
LIEU-DIT   LASCHAMP                   
LIEU-DIT   LASCHAMPS                  
LIEU-DIT   MASTRIBUT                  
LIEU-DIT   MONTCOUYOUX                
LIEU-DIT   LES PELADES                
LIEU-DIT   LES PEROUSES               
LIEU-DIT   PETIT AYEN                 
LIEU-DIT   PUY CHAUD                  
LIEU-DIT   DE SAGNAT                  
LIEU-DIT   TERRE BLANCHE              
LIEU-DIT   TRIDENT                    
LIEU-DIT   LA VERGNADE                
LIEU-DIT   LES VIEMAUX                
LIEU-DIT   AYEN                       
LIEU-DIT   LES GOUILLES               
LIEU-DIT   LA COTE DES GRANGES        
LIEU-DIT   ZONE INDUSTRIELLE          
LIEU-DIT   HLM MARCEL ARNAUD          
LIEU-DIT   BUSSEAU GARE               
LIEU-DIT   BUSSEAU VILLAGE            
PLACE      ALBERT GIRAUD              
ROUTE      D AYEN                     
ROUTE      D AUBUSSON                 
ROUTE      DE BOURGANEUF              
RUE        DES BRIDES                 
PLACE      DU CHAMP DE FOIRE          
PLACE      DU DOCTEUR COUDERC         
PLACE      DE L EGLISE                
RUE        FIACRE                     
           CHAMP DE FOIRE             
PLACE      DE FUMADE                  
ROUTE      DE GUERET                  
PLACE      JACQUES LAGRANGE           
FG         FAUBOURG LAFOND            
PLACE      DE LA LIBERTE              
ROUTE      DE LIMOGES                 
PLACE      DE LA MAIRIE               
RUE        DES MARONNIERS             
RUE        DU DOCTEUR MAUMY           
ROUTE      DE MOLLES                  
PLACE      DU MONUMENT                
ROUTE      DU MOUTIER                 
RUE        MARCEL ARNAUD              
PLACE      MARCEL ARNAUD              
RUE        DES PENITENTS              
ROUTE      D AYEN                     
ROUTE      DE PIERREFITE              
PLACE      PO                         
RUE        DE LA PORTE POUZAMI        
RUE        POUZAMI                    
GR         GRANDE RUE                 
RUE        RENE CASSIN                
RUE        SAINT JEANNE               
RUE        SAINT MICHEL               
RUE        SAINT SILVAIN              
RUE        TRAVERSIERE                
VTE        VIEILLE ROUTE DU MOUTIER   
ROUTE      D ANTARIAUX                
RUE        DU CHERCHE NID             
BOULEVARD  DE LA VILLE                
CHEMIN     DES GARDES                 
CHEMIN     DU PRADEAU                 
CHEMIN     RURAL DU CEYDOUX           
           commune :     AJAIN                          departement : CREUSE                        
LOT        LES CHAUMES                
LOT        DU STADE                   
LIEU-DIT   LES AIRAS                  
LIEU-DIT   LES ARBURELS               
LIEU-DIT   LES AUBAS                  
LIEU-DIT   LES BARBIERS               
LIEU-DIT   LES BARRES                 
LIEU-DIT   LES BELLES MARTIS          
LIEU-DIT   BERVIEILLE                 
LIEU-DIT   LA BETOULLE                
LIEU-DIT   LES BETOULLES DE PRAT VELY 
LIEU-DIT   LES BETOULLES DES RIAUX    
LIEU-DIT   BIAUX                      
LIEU-DIT   LES BIAUX                  
LIEU-DIT   LES BOIS CHARPENTIER       
LIEU-DIT   LES BOIS DE GONEIX         
LIEU-DIT   BOIS DE L ECU              
LIEU-DIT   BOIS DE L HOSPICE          
LIEU-DIT   BOIS DE LA GASNE           
LIEU-DIT   BOIS DE LA SAGNE           
LIEU-DIT   BOIS DES AMOUREUX          
LIEU-DIT   LES BOIS DES GELADES       
LIEU-DIT   BOIS DU PRE                
LIEU-DIT   BOIS L AILLANT             
LIEU-DIT   BOIS LAVAUD                
LIEU-DIT   BOIS LONG                  
LIEU-DIT   BONNEFOND DE CHAMP GUILLOT 
LIEU-DIT   BONNEFOND DE LA GRANDE TER 
LIEU-DIT   BORDAS                     
LIEU-DIT   LA BORDE                   
LIEU-DIT   LE BOST                    
LIEU-DIT   BOUCHETEAU                 
LIEU-DIT   AUX BOUEGEAS               
LIEU-DIT   LES BOUEGES DES PLATEAUX   
LIEU-DIT   LES BOUEGES VILLEBEBE      
LIEU-DIT   LES BOUEIGES               
LIEU-DIT   LES BOUENES                
LIEU-DIT   BOUFEMORD                  
LIEU-DIT   LES BOUIGES                
LIEU-DIT   LES BOULETS                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BREGERE                 
LIEU-DIT   BREJAUDS                   
LIEU-DIT   LES BREJAUDS               
LIEU-DIT   LES BREJETS                
LIEU-DIT   LES BREUX                  
LIEU-DIT   LES BRIFFAUDES             
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LES CARTELADES             
LIEU-DIT   LES CERISEAUX              
LIEU-DIT   LES CHABRIERES             
LIEU-DIT   LE CHAMP                   
LIEU-DIT   CHAMP CALAUD               
LIEU-DIT   CHAMP DURAND               
LIEU-DIT   CHAMP GUILLOT              
LIEU-DIT   CHAMP ROND                 
LIEU-DIT   CHAMP ROUGE                
LIEU-DIT   CHAMPROY                   
LIEU-DIT   LE CHAMPROY                
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   CHAMPS DE LA CROUX         
LIEU-DIT   CHAMPS FAUCHES             
LIEU-DIT   LES CHANDELIERS            
LIEU-DIT   CHANTAREIX                 
LIEU-DIT   LE CHANTAREIX              
LIEU-DIT   CHANTEMILLE                
LIEU-DIT   AU CHAPEAU                 
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   CHARPENTIER                
LIEU-DIT   LES CHARVAILLES            
LIEU-DIT   LES CHASSAGNES             
LIEU-DIT   LE CHASSAGNOUX             
LIEU-DIT   LES CHASSIGNOUX            
LIEU-DIT   CHATELARD                  
LIEU-DIT   LES CHATRES                
LIEU-DIT   LA CHAUME DE LA GOUTTE     
LIEU-DIT   LA CHAUME DE LAS TERRAS    
LIEU-DIT   LA CHAUME DES COTES        
LIEU-DIT   LA CHAUME DES FOURNIERES   
LIEU-DIT   LA CHAUME DES VERNEIX      
LIEU-DIT   CHAUME DU GOT              
LIEU-DIT   LES CHAUSSIERES            
LIEU-DIT   LE CHAUSSOT                
LIEU-DIT   LES CHAVAILLES             
LIEU-DIT   LES CHAZELLES              
LIEU-DIT   LES CHENEVIERES            
LIEU-DIT   CHER FOLLE                 
LIEU-DIT   CHER LOUBI                 
LIEU-DIT   CHER PAQUET                
LIEU-DIT   CHEREMA                    
LIEU-DIT   CHERPELAT                  
LIEU-DIT   CHERPEYROUX                
LIEU-DIT   CHEZ SERVAIS               
LIEU-DIT   LES CHEZAUDS               
LIEU-DIT   CHIER LAVAUD               
LIEU-DIT   CHIER MARTY                
LIEU-DIT   LES CHIERS DE GOUNECHAS    
LIEU-DIT   LES CHIERS DE LA GASNE     
LIEU-DIT   LES CHIERS DE LASCHAMP     
LIEU-DIT   LES CHIERS DES COUTURES    
LIEU-DIT   LES CHIERS GROSMONT        
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   LE CLAUDIS                 
LIEU-DIT   LE CLAUDY                  
LIEU-DIT   LES CLAUX                  
LIEU-DIT   LES CLIDES DE COMBE NEICHE 
LIEU-DIT   LES CLIDES DE PUY GAILLARD 
LIEU-DIT   LES CLIDES DES FONTS       
LIEU-DIT   LES CLOS                   
LIEU-DIT   CLOS DE VEINE              
LIEU-DIT   LE COEUR DE LA CROIX       
LIEU-DIT   COIFFEUX                   
LIEU-DIT   LA COMBE DE COMBORD        
LIEU-DIT   LA COMBE DE PEU MAUD       
LIEU-DIT   LA COMBE DES PRES ROUX     
LIEU-DIT   COMBE NEICHE               
LIEU-DIT   LES COMBEAUX DE CHER FOLLE 
LIEU-DIT   LES COMBEAUX DE PEUSSAFUT  
LIEU-DIT   COMBELLA                   
LIEU-DIT   LES COMBES                 
LIEU-DIT   COMBORD                    
LIEU-DIT   COMBRECHAT                 
LIEU-DIT   LA COTE DE L AILLANT       
LIEU-DIT   LA COTE DES MOUILLERES     
LIEU-DIT   COTE NADAUD                
LIEU-DIT   COTE VIGNE                 
LIEU-DIT   LES COTELLES               
LIEU-DIT   LES COTES DE COMBACLET     
LIEU-DIT   COTES DE COMBORD           
LIEU-DIT   LES COTES DE LA CHAUME     
LIEU-DIT   LES COTES DES EGAUX        
LIEU-DIT   LES COTES DES PELADES      
LIEU-DIT   LES CONCHES                
LIEU-DIT   LE COUDERT DE GIRANDE      
LIEU-DIT   LE COUDERT DE LA COMBELLE  
LIEU-DIT   LE COUDERT DE LA GRAVELLE  
LIEU-DIT   LE COUDERT DE VENTADOUR    
LIEU-DIT   LES COUDERTS               
LIEU-DIT   LES COUMAGERIES            
LIEU-DIT   COUMAUMERANGEAS            
LIEU-DIT   COURBACLET                 
LIEU-DIT   COURBARIAUX                
LIEU-DIT   LA COMBELLE                
LIEU-DIT   COURBOUET                  
LIEU-DIT   LA COURCELLE               
LIEU-DIT   LES COUTEAUX DE LA RIBIERE 
LIEU-DIT   LES COUTEAUX DE VILLARVANT 
LIEU-DIT   LES COUTILLES              
LIEU-DIT   LES COUTURES DE L ARBRE    
LIEU-DIT   LES COUTURES DE LANGEAS    
LIEU-DIT   LES COUTURES DE VILLANDRY  
LIEU-DIT   LES COUTURES DES AUBAS     
LIEU-DIT   LES COUTURES DES PLANCHES  
LIEU-DIT   LES CRAUX                  
LIEU-DIT   LA CREMAILLERE             
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROIX DU BOIS           
LIEU-DIT   LES CUBILLOUX              
LIEU-DIT   LES DEVADES                
LIEU-DIT   LES DOURNECHES             
LIEU-DIT   DRAGONNIERE                
LIEU-DIT   L EBEAUPY                  
LIEU-DIT   L ECLUSE                   
LIEU-DIT   LES EGANDS                 
LIEU-DIT   LES EGAUX                  
LIEU-DIT   LES EGOTS                  
LIEU-DIT   LES ERGOTIERS              
LIEU-DIT   L ETANG                    
LIEU-DIT   LES ETANGS                 
LIEU-DIT   LA FAILLE                  
LIEU-DIT   LA FONT AUX BOEUFS         
LIEU-DIT   LA FONTALINE               
LIEU-DIT   FONTAVAUX                  
LIEU-DIT   FONTS                      
LIEU-DIT   LA FOSSE                   
LIEU-DIT   LES FOUGERADES DE BERVIEIL 
LIEU-DIT   LES FOUGERADES DES SEGAUDS 
LIEU-DIT   LES FOUGERES               
LIEU-DIT   LES FOUNIERES DES COTELLES 
LIEU-DIT   LES FOURNIERES DE PRE CLOS 
LIEU-DIT   LES FOURS                  
LIEU-DIT   FOUSERVAUD                 
LIEU-DIT   LES FRESSES                
LIEU-DIT   LA GANA                    
LIEU-DIT   LA GANE AU REIX            
LIEU-DIT   LA GARDE DE POT PERDU      
LIEU-DIT   LA GARDE DES COMBES        
LIEU-DIT   LES GARDES                 
LIEU-DIT   LES GARDETTES              
LIEU-DIT   LES GARENNES               
LIEU-DIT   LA GASNE AU REIX           
LIEU-DIT   LA GASNE DE COMBARIAUX     
LIEU-DIT   LA GASNE DE LA COURCELLE   
LIEU-DIT   LES GASNES DES MONTS       
LIEU-DIT   LES GASNES DES PATURAUX    
LIEU-DIT   LES GAUNETS                
LIEU-DIT   LES GELADES                
LIEU-DIT   LES GENETAUX               
LIEU-DIT   LES GENEVRIERS             
LIEU-DIT   GIRAUDE                    
LIEU-DIT   LE GONEIX                  
LIEU-DIT   LE GOT DES CLIDES          
LIEU-DIT   LE GOT DES COUTURES        
LIEU-DIT   GOUNECHAS DES CHIERS       
LIEU-DIT   GOUNECHAS DES COUTEAUX     
LIEU-DIT   GOURNEIX                   
LIEU-DIT   LES GOURS                  
LIEU-DIT   GOUTTE BLANCHE             
LIEU-DIT   GOUTTE DE L ECHELLE        
LIEU-DIT   LA GOUTTE DE LA CHAUME     
LIEU-DIT   LA GOUTTE DES RENARDIERES  
LIEU-DIT   GOUTTES DE CHANTAREIX      
LIEU-DIT   LES GOUTTES DE CHEREMA     
LIEU-DIT   LES GOUTTES DE PEUX RACOTS 
LIEU-DIT   LES GOUTTES DE PRAS DE VIL 
LIEU-DIT   LES GOUTTES DES CERISEAUX  
LIEU-DIT   LES GOUTTES DES CRAUX      
LIEU-DIT   LES GOUTTES DES POIRIERS   
LIEU-DIT   LES GOUTTES DES SAGNETTES  
LIEU-DIT   LES GOUTTES GUILLARD       
LIEU-DIT   GRAND BOIS                 
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND PATURAL DES CONCH 
LIEU-DIT   LE GRAND PATURAL DES COUTU 
LIEU-DIT   LE GRAND PATURAL DES MOULA 
LIEU-DIT   GRAND PRE                  
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   GRANDVAUX                  
LIEU-DIT   LE GRAND VERGER            
LIEU-DIT   LA GRANDE DUCHE            
LIEU-DIT   LA GRANDE TERRE DE BONNEFO 
LIEU-DIT   LA GRANDE TERRE DES FOUGER 
LIEU-DIT   GRANDES COTES DE COMBE NEI 
LIEU-DIT   GRANDES COTES DE COMBORD   
LIEU-DIT   LES GRANDES PIECES         
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS CHEMINS         
LIEU-DIT   LES GRANDS PATURAUX DU PEU 
LIEU-DIT   LES GRANDS PRES DE PEUX RE 
LIEU-DIT   LES GRANDS PRES DES GARDET 
LIEU-DIT   LES GRANGES                
LIEU-DIT   LE GRAVADOUR               
LIEU-DIT   LA GRAVELLE                
LIEU-DIT   GROSMONT                   
LIEU-DIT   LES HARMELLES              
LIEU-DIT   LES HOMIERES               
LIEU-DIT   LES ILES                   
LIEU-DIT   LANGEAS                    
LIEU-DIT   LAS BOUENAS                
LIEU-DIT   LAS COTAS DE LA TREUILLE   
LIEU-DIT   LAS COTAS DES BARRES       
LIEU-DIT   LAS COUTELAS               
LIEU-DIT   LAS MORAS                  
LIEU-DIT   LAS TERRAS                 
LIEU-DIT   LAS VAUTAS                 
LIEU-DIT   LASCHAMP                   
LIEU-DIT   LE LATET                   
LIEU-DIT   LE LATET DU HAUT           
LIEU-DIT   LES LEZES                  
LIEU-DIT   LES LIRAS                  
LIEU-DIT   LES LONGES                 
LIEU-DIT   LES LONGES DE MALAVAUX     
LIEU-DIT   LES LONGES DES CHARVAILLES 
LIEU-DIT   LES MAGNAS                 
LIEU-DIT   LA MAISON                  
LIEU-DIT   MALAVAUX                   
LIEU-DIT   LES MARAUDS                
LIEU-DIT   LES MERINOUS               
LIEU-DIT   LE MERY                    
LIEU-DIT   LE MONTILLAUD              
LIEU-DIT   DES MONTS                  
LIEU-DIT   LES MONTS                  
LIEU-DIT   LES MORTOUILLERES          
LIEU-DIT   LES MORTURES               
LIEU-DIT   LES MOUALLETS              
LIEU-DIT   LES MOUHANTS               
LIEU-DIT   LES MOUILLERES             
LIEU-DIT   MOULANTIER                 
LIEU-DIT   LES NAUDS                  
LIEU-DIT   NEUVILLE                   
LIEU-DIT   LES NOUALLETS DE PRES CLOS 
LIEU-DIT   LES NOUALLETS DES COUTURES 
LIEU-DIT   DES NOYERS                 
LIEU-DIT   L ORTEIX                   
LIEU-DIT   L OUCHE                    
LIEU-DIT   LES OUCHES                 
LIEU-DIT   LES PALENES                
LIEU-DIT   LE PALMIER                 
LIEU-DIT   AUX PATURAUX               
LIEU-DIT   PATURAUX                   
LIEU-DIT   LES PATURAUX DES COMBEAUX  
LIEU-DIT   PATURAUX GRANDS            
LIEU-DIT   LES PATUREAUX              
LIEU-DIT   LES PATUREAUX DE PUY CHATR 
LIEU-DIT   PATURES DU CHATEAU         
LIEU-DIT   LA PECHERIE                
LIEU-DIT   PEDEUX                     
LIEU-DIT   LES PELADES DE CHERPEYROUX 
LIEU-DIT   LES PELADES DE FONSERVAUD  
LIEU-DIT   LES PELADES DE L ETANG     
LIEU-DIT   LES PELADES DE LA GASNE    
LIEU-DIT   LES PELADES DE PUY PAILLOU 
LIEU-DIT   LES PELADES DES RIOUX      
LIEU-DIT   LE PELOUX                  
