20151101
04         ALPES DE HAUTE-PROVENCE       
LIEU-DIT   COTEAU CRESTA              
LIEU-DIT   COTEAU DE VENTREBRUN       
LIEU-DIT   COTEAU DES BRUS            
LIEU-DIT   CUGUILLE                   
LIEU-DIT   FOURCOIRES                 
LIEU-DIT   LA GARENNE                 
LIEU-DIT   GUIRAMAN                   
LIEU-DIT   LE HAUT LAURIS             
LIEU-DIT   HAUT PINET                 
LIEU-DIT   HUBAC DE SAINT MARC        
LIEU-DIT   HUBAC DU VALLON DE MONTAGN 
LIEU-DIT   JEANBRAYE                  
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LES MOULLIERES             
LIEU-DIT   LA MOUTTE                  
LIEU-DIT   NOTRE DAME                 
LIEU-DIT   NOTRE DAME DES GRACES      
LIEU-DIT   LA PEIROUE                 
LIEU-DIT   PIGEONNIER                 
LIEU-DIT   PINET ET SAINT ANTOINE D O 
LIEU-DIT   PLAINE DE BARBARO          
LIEU-DIT   PLAINE DU PUITS            
LIEU-DIT   PLAINES ABELLIERS ET CUBER 
LIEU-DIT   PORTEFAIX                  
LIEU-DIT   PRE DE PILLET              
LIEU-DIT   RAFFINIS                   
LIEU-DIT   RAVIN DES VACHES           
LIEU-DIT   REGLANIER                  
LIEU-DIT   SAINT ANTOINE              
LIEU-DIT   SAINT MARCEL               
LIEU-DIT   SAINT PIERRE               
LIEU-DIT   SAINT VERAN                
LIEU-DIT   LA THUILIERE               
LIEU-DIT   TIRAN                      
LIEU-DIT   LA TREILLE                 
LIEU-DIT   LA TRINITE                 
LIEU-DIT   LE TRUY                    
LIEU-DIT   VALLON DE MONTAGNAC        
LIEU-DIT   VALLON DES VIGNES          
LIEU-DIT   VALLON DU FOUR             
LIEU-DIT   VAUGISCLE                  
LIEU-DIT   LA VELANETTE               
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   BEAUVEZER                  
LIEU-DIT   L ADRECH DU VALLON         
LIEU-DIT   BERTRANDY NORD             
LIEU-DIT   COTEAU DES BRUS SUD        
LIEU-DIT   COTEAU DE VENTREBRUN NORD  
LIEU-DIT   NOTRE DAME NORD            
LIEU-DIT   PL ABELLIERS CUBERCLAI SUD 
LIEU-DIT   PRE DE PILLET EST          
LIEU-DIT   PORTEFAIX NORD             
LIEU-DIT   NOTRE DAME DES GRACES NORD 
LIEU-DIT   SOUS BEYETTE               
LIEU-DIT   VALLON DU FOUR NORD        
LIEU-DIT   VAUGISCLE OUEST            
LIEU-DIT   SAINT VERAN NORD           
LIEU-DIT   CHEM DE RIEZ OUEST         
LIEU-DIT   LE TARTAVEL                
LOT        LE TARTAVEL                
LOT        LES JARDINS D HELIOS       
ROUTE      DE VALENSOLE               
RUE        ANTOINE FONDRINI           
RUE        DES ARTS                   
ROUTE      D ESPARRON                 
RUE        ROGER HIVERT               
RUE        DES JARDINS                
PLACE      DE LA FONTAINE             
RUE        ALFRED HADJAIJ             
RUE        DU COLLET                  
ROUTE      D AIX                      
RUE        GRANDE                     
RUE        ST ELOI                    
RUE        FELIX ARNOUX               
RUE        MARCEL AMIEL               
PLACE      ALPHONSE JAMES             
           commune :     ALLONS                         departement : ALPES DE HAUTE-PROVENCE       
LIEU-DIT   L ADRECH DE DINARROUX      
LIEU-DIT   LES BAQUIERES              
LIEU-DIT   LES BARNALAUDS             
LIEU-DIT   BASSIN                     
LIEU-DIT   BELLE VUE                  
LIEU-DIT   LE BRUCS                   
LIEU-DIT   CABANE NEUVE               
LIEU-DIT   LE CASTELLAS               
LIEU-DIT   LA CERISIERE               
LIEU-DIT   LA CHABRAIRE               
LIEU-DIT   LA CHAMOUSSIERE EST        
LIEU-DIT   LA CHAMOUSSIERE OUEST      
LIEU-DIT   CHAMP LONG                 
LIEU-DIT   LES CHAMPONS               
LIEU-DIT   CHARROUENS                 
LIEU-DIT   CLOT BELIEN                
LIEU-DIT   LES CLOTS                  
LIEU-DIT   LA COLLE D ANGLES          
LIEU-DIT   COLLE D ANNOT              
LIEU-DIT   LE CONTENT                 
LIEU-DIT   LA COUESTE                 
LIEU-DIT   COUESTE MARTINE            
LIEU-DIT   SUR LA CROIX               
LIEU-DIT   LE DEFEND                  
LIEU-DIT   DOUANE                     
LIEU-DIT   L EICHART                  
LIEU-DIT   L EIGAGI                   
LIEU-DIT   FOUENT ESTAGE              
LIEU-DIT   LES GARRETS                
LIEU-DIT   LES GATELIERES             
LIEU-DIT   LES GLAIRES                
LIEU-DIT   GONTIER                    
LIEU-DIT   LES GORGETTES              
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LES GRAUX                  
LIEU-DIT   L HUBAC                    
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   PECHIN                     
LIEU-DIT   LES PEYRIERES              
LIEU-DIT   PLAINES DE GRANET          
LIEU-DIT   PRA CHIRIEI                
LIEU-DIT   LE PRE CLAUX               
LIEU-DIT   PRE RIOU                   
LIEU-DIT   LE PUY                     
LIEU-DIT   RAMPAN                     
LIEU-DIT   LA RESERVE                 
LIEU-DIT   ROUYERE                    
LIEU-DIT   LA SAGNE EST               
LIEU-DIT   LA SAGNE OUEST             
LIEU-DIT   SAINT DONNIN               
LIEU-DIT   SERRE DES AVELANIERS       
LIEU-DIT   TETE DE L HOMME            
LIEU-DIT   LES TRAVERSES NORD         
LIEU-DIT   LES TRAVERSES SUD          
LIEU-DIT   VAUCLAUSE                  
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VILLAS                 
LIEU-DIT   LA BATIE NEUVE             
LIEU-DIT   LA MOUTIERE                
LIEU-DIT   LE BOULEVARD               
RUE        DE L'ABATO                 
PLACE      D'AUTANE                   
           HAMEAU DE LA BATIE NEUVE   
PLACE      DU CERCLE                  
RUE        DU CHATEAU                 
RUE        DU COCHONNIER              
MTE        DE L'EGLISE                
RUE        DE L'EGLISE                
RUE        DES ETABLES                
           HAMEAU DE LA FORET         
RUE        DE LA FORGE                
RUE        DU FORT                    
RUE        DU FOUR                    
PLACE      SIMON GALFARD              
PLACE      DE LA MAR SALAU            
           HAMEAU DE LA MOUTIERE      
CHEMIN     DE PRA GOUI                
PLACE      JOSEPH RANCUREL            
RUE        DES RENDEZ VOUS            
RUE        AMIRAL DE RICHERY          
CHEMIN     DE LA SAGNE                
CHEMIN     DE TRAS CASTEU             
RUE        DU VERGEROUN               
CHEMIN     LOU VIE VOUAT              
CHEMIN     DU RAMPANT                 
           commune :     ALLOS                          departement : ALPES DE HAUTE-PROVENCE       
RESIDENCE  LA CROISETTE               
RESIDENCE  PONT DU VERDON             
RESIDENCE  LE SCHUSS                  
RESIDENCE  LES TROIS EVECHES          
RESIDENCE  LE VAL BENOIT              
RESIDENCE  L YVETTE                   
RESIDENCE  CENTRE COMMERCIAL          
RESIDENCE  L EDELWEISS LE SEIGNUS     
RESIDENCE  LES CLARINES LA FOUX       
RESIDENCE  LE DAHUT LA FOUX           
RESIDENCE  LA FAITIERE                
RESIDENCE  KIN RESIDENCE HAUT DE VILL 
RESIDENCE  LE CHRISTIANA LA FOUX      
RESIDENCE  LES POUNCHUS LA FOUX       
RESIDENCE  LES MARMOTTES  LA FOUX     
RESIDENCE  LES MELEZES                
RESIDENCE  NEIGE ET ROC  LA FOUX      
RESIDENCE  L OREE DU BOIS             
RESIDENCE  PLEIN SOLEIL SUPER ALLOS   
RESIDENCE  LE PONT DU VERDON          
RESIDENCE  LES QUATRES SAISONS P LABR 
RESIDENCE  LE SCHUSS  PONT LABR       
LOT        DES SOURCES                
QUA        SOUS LES JARDINS           
RESIDENCE  LE SCHUSS 3                
RESIDENCE  LE SCHUSS 4                
RESIDENCE  LE SCHUSS 5                
RESIDENCE  LA PETITE OURSE 2          
RESIDENCE  LE VIRGINIE                
RESIDENCE  LE BANIVOL                 
RESIDENCE  LES BALCONS DU SOLEIL      
RESIDENCE  LES BALCONS DU SOLEIL 2    
RESIDENCE  CENTRAL PARK               
RESIDENCE  VALDAREO                   
RESIDENCE  VALDORAMA                  
RESIDENCE  LE POINTU LA FOUX D ALLOS  
LIEU-DIT   ADRECH DE CHAUVET          
LIEU-DIT   ADRET DE VALDEMARS         
LIEU-DIT   LES ADRETS                 
LIEU-DIT   ADROIT DU TAPI             
LIEU-DIT   L AIGUILLE                 
LIEU-DIT   L ALLEE                    
LIEU-DIT   ARNAUDE                    
LIEU-DIT   L AUCHE                    
LIEU-DIT   LES AUCHES                 
LIEU-DIT   L AURIAC                   
LIEU-DIT   BALAOU                     
LIEU-DIT   BANIVOL                    
LIEU-DIT   BARBEYRON                  
LIEU-DIT   BASSE COLETTE              
LIEU-DIT   LA BAUME                   
LIEU-DIT   LA BAUMELLE                
LIEU-DIT   LES BAUMES                 
LIEU-DIT   BOIS DE LAUNE              
LIEU-DIT   LE BOIS NOIR               
LIEU-DIT   BOUCHIERS                  
LIEU-DIT   LE BREC                    
LIEU-DIT   LE BRUISSET                
LIEU-DIT   LES CARTOUNOUS             
LIEU-DIT   LES CHABRIERES NORD        
LIEU-DIT   CHAMP RICHARD              
LIEU-DIT   LES CHAMPASSES             
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   CHAPELANIE                 
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LES CHARRIERES SUD         
LIEU-DIT   CHAUVET                    
LIEU-DIT   LES CHELANCHES             
LIEU-DIT   CHEVAL DE BOIS             
LIEU-DIT   LE CIMET                   
LIEU-DIT   LES CLAUX                  
LIEU-DIT   LE CLOUVET                 
LIEU-DIT   LA CLUITE                  
LIEU-DIT   LE COGNET                  
LIEU-DIT   LE COGNETAS                
LIEU-DIT   LE COLLET                  
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA COTE HAUTE              
LIEU-DIT   LE DEFFENDS                
LIEU-DIT   EMPOUENSE                  
LIEU-DIT   L ENCOMBRET                
LIEU-DIT   LES EYCHAS                 
LIEU-DIT   LE FANGUET                 
LIEU-DIT   LES FOUCOUX                
LIEU-DIT   LA FOUX                    
LIEU-DIT   LES GAYS                   
LIEU-DIT   LA GOURRE                  
LIEU-DIT   LA GRAND PIECE             
LIEU-DIT   GRAVIER                    
LIEU-DIT   LES GUIGNANDS              
LIEU-DIT   HAUT DE VILLE              
LIEU-DIT   HAUTE COLETTE              
LIEU-DIT   L HERBE BLANCHE            
LIEU-DIT   HUBAC DE BALAOU            
LIEU-DIT   L HUBAC DE L AIGUILLE      
LIEU-DIT   HUBAC DE MONIER            
LIEU-DIT   HUBAC DE ROUGNOUSE         
LIEU-DIT   L HUBAC DE TALON           
LIEU-DIT   LACHAUD ET CHAUVET         
LIEU-DIT   LE LAUS NORD               
LIEU-DIT   LE LAUS SUD                
LIEU-DIT   MARGUION                   
LIEU-DIT   MEYRIES                    
LIEU-DIT   MONTAGNE DU LAC            
LIEU-DIT   MONTAGNE DU TAPI           
LIEU-DIT   MONTGROS                   
LIEU-DIT   LA PARIERE                 
LIEU-DIT   LA PERIERE                 
LIEU-DIT   LE PICHS                   
LIEU-DIT   LES PLAINES                
LIEU-DIT   LE PLAN EST                
LIEU-DIT   LE PLAN NORD               
LIEU-DIT   LE PLAN OUEST              
LIEU-DIT   PLEYNET ET RAJASSE         
LIEU-DIT   LES POINTUS                
LIEU-DIT   LE PONT                    
LIEU-DIT   PONT DE LABRAU             
LIEU-DIT   POUSSENDRIOU               
LIEU-DIT   PRACHASTEL                 
LIEU-DIT   LE PRADAS                  
LIEU-DIT   PREINIER                   
LIEU-DIT   PREMIN BAS                 
LIEU-DIT   PREMIN HAUT                
LIEU-DIT   LES PRES                   
LIEU-DIT   PRES BOUCHEIRENS           
LIEU-DIT   PRES D AURIAC              
LIEU-DIT   PRES DE L HUBAC            
LIEU-DIT   LES PRES HAUTS             
LIEU-DIT   PROUCELS                   
LIEU-DIT   LA ROBINE                  
LIEU-DIT   ROCHEGRAND                 
LIEU-DIT   ROI                        
LIEU-DIT   ROUGNOUSE                  
LIEU-DIT   LA ROUINE                  
LIEU-DIT   LES ROUSSES                
LIEU-DIT   LE ROY                     
LIEU-DIT   LE SAFRANIER               
LIEU-DIT   SAINTE BRIGITTE            
LIEU-DIT   LE SAPET                   
LIEU-DIT   LE SARRET                  
LIEU-DIT   LA SECHIE                  
LIEU-DIT   LE SEIGNUS BAS             
LIEU-DIT   LE SEIGNUS HAUT            
LIEU-DIT   LA SELETTE                 
LIEU-DIT   LES SERENTES               
LIEU-DIT   LA SESTRIERE               
LIEU-DIT   LA SOUCHE                  
LIEU-DIT   SOURCES DU VERDON          
LIEU-DIT   SOUS ROCHEGRAND            
LIEU-DIT   TALON                      
LIEU-DIT   LA TARDEE                  
LIEU-DIT   LA TRAVERSE                
LIEU-DIT   LES TRAVERSES NORD         
LIEU-DIT   LES TRAVERSES SUD          
LIEU-DIT   VACHERESSE                 
LIEU-DIT   VALBOYERE                  
LIEU-DIT   VALDEMARS                  
LIEU-DIT   LA VALLAOU                 
LIEU-DIT   LE VALLONNET               
LIEU-DIT   VALPLANE                   
LIEU-DIT   VARIJONNE                  
LIEU-DIT   VAUMINETTE                 
LIEU-DIT   LE VERGER                  
LIEU-DIT   LE VILLARD                 
LIEU-DIT   LA VILLE                   
LIEU-DIT   SUPER ALLOS                
LIEU-DIT   LE HAMEAU DE LA CHAPELLE   
LIEU-DIT   LE CLOUVET EST             
LIEU-DIT   ADROIT DU TAPI SUD         
LIEU-DIT   LA CHAPELLE NORD           
LIEU-DIT   LA GOURRE EST              
LIEU-DIT   LE SEIGNUS HAUT OUEST      
LIEU-DIT   PONT DE LABRAU OUEST       
LIEU-DIT   LES AIRES                  
LIEU-DIT   LES CHARRIERES             
LIEU-DIT   LA LAITERIE                
LIEU-DIT   LE SEIGNUS                 
LIEU-DIT   LE VILLAGE                 
CHEMIN     ROISETTE                   
           LES ETOILES                
           LA F AITIERE               
TERRASSE   LES TERRASSES              
VAL        DE MARS                    
           LES PONCHUS                
PONT       DU VERDON                  
           LE S CHUSS                 
           LES TROIS EVECHES          
VOIE       AL BENOIT                  
           L YV ETTE                  
           CENT RE COMMERCIAL         
LOT        LES HAMEAUX DE ROCHEGRAND  
CHEMIN     DE L ADROIT                
IMPASSE    DES FRENES  SUPER ALLOS    
IMPASSE    DES GENETS                 
RUE        DU MOULIN                  
PLACE      DU PRE DE FOIRE            
CHEMIN     NORD                       
CHEMIN     DU NORD                    
CHEMIN     DES VACHERESSES            
CHEMIN     DES SORBIERS               
CHEMIN     DU RESERVOIR               
CHEMIN     DES LAVANDES               
CHEMIN     DES ESCARGOTS              
CHEMIN     DESIRE                     
CHEMIN     DES COLCHIQUES             
ROUTE      DU BREC                    
RUE        DES EGLANTIERS             
RUE        DES GENEVRIERS             
AVENUE     MELEZES                    
RUE        DE LA SALLE DES FETES      
RUE        DU SAPIN                   
IMPASSE    DU TITUS                   
CD         N 26                       
GR         GRAND RUE                  
RUE        DU BARRI                   
RUE        DU CLOCHER                 
RUE        LE FOULON                  
RUE        DU FOUR                    
CD         N 126                      
RUE        DE LA CITADELLE            
RUE        DE LA PLACETTE             
CHEMIN     DE LA ROUINE               
RUE        DES CERISIERS              
           commune :     ANGLES                         departement : ALPES DE HAUTE-PROVENCE       
LIEU-DIT   LA BAOU                    
LIEU-DIT   LES BAOUSSAYES             
LIEU-DIT   LA BASSE                   
LIEU-DIT   LE BOIS                    
LIEU-DIT   LA BOURGADE                
LIEU-DIT   CHAMATTE                   
LIEU-DIT   CHAMBOULAN                 
LIEU-DIT   CHAMP CHEVIERES            
LIEU-DIT   LES CLAOUSSES              
LIEU-DIT   CLOT AUFAN                 
LIEU-DIT   CLOT BELLON                
LIEU-DIT   CLOT BONNET                
LIEU-DIT   CLOT BRAQUET               
LIEU-DIT   CLOT DE LOUP               
LIEU-DIT   COMBE LAMBERT              
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES COUTAILS               
LIEU-DIT   LA GRAU                    
LIEU-DIT   LES HERMAS                 
LIEU-DIT   LES JARDINS                
LIEU-DIT   LES LUMIERES               
LIEU-DIT   LE MOUSTIER                
LIEU-DIT   LA PALUD                   
LIEU-DIT   LES PERRUCHES              
LIEU-DIT   LES PLANS                  
LIEU-DIT   PRAONGEARD                 
LIEU-DIT   LES RIAILLES               
LIEU-DIT   LES ROUBINES               
LIEU-DIT   LES SEBIERES               
LIEU-DIT   LES SERRES                 
LIEU-DIT   LES TAILLAOUS              
LIEU-DIT   LE VILLAGE                 
PLACE      DOL LAURENT                
           commune :     ANNOT                          departement : ALPES DE HAUTE-PROVENCE       
LOT        LA CROIX ROMANE            
LOT        DES GLAIRES                
LOT        SAINT JOSEPH               
LIEU-DIT   LES ABRITS                 
LIEU-DIT   L ACHARP                   
LIEU-DIT   L ADRECH                   
LIEU-DIT   L ARAS                     
LIEU-DIT   D ARBELLIS                 
LIEU-DIT   LES AUCHES                 
LIEU-DIT   BALME LONGE                
LIEU-DIT   BARDASSA                   
LIEU-DIT   BASTIDE DE MARIE           
LIEU-DIT   LES BAUSSES                
LIEU-DIT   LA BEITE                   
LIEU-DIT   LA BLACHE                  
LIEU-DIT   LA BUISSIERE               
LIEU-DIT   LA CABANE                  
LIEU-DIT   LE CASSET                  
LIEU-DIT   LE CASTAGNERET             
LIEU-DIT   CHAMP DE LA GRANGE         
LIEU-DIT   CHAMP FOURA                
LIEU-DIT   CHAMP LONG                 
LIEU-DIT   CHAMP VERMEIL              
LIEU-DIT   CHAMPREICHARD              
LIEU-DIT   CHARBOUNIERE               
LIEU-DIT   CHATAIGNIERS               
LIEU-DIT   CHAUDOULET                 
LIEU-DIT   LES CLAPIERES              
LIEU-DIT   CLOT BARBELLE              
LIEU-DIT   CLOT CHARBONNEL            
LIEU-DIT   CLOT D ANGILI              
LIEU-DIT   CLOT DU BAOUX              
LIEU-DIT   CLOT FERAUD                
LIEU-DIT   CLOT RICOUX                
LIEU-DIT   CLOT ROUBAUD               
LIEU-DIT   LES CLOTS                  
LIEU-DIT   LA COLLE                   
LIEU-DIT   LES COMBES                 
LIEU-DIT   COMBETTE MARIA             
LIEU-DIT   LA CONDAMINE               
LIEU-DIT   COSTE MOULINE              
LIEU-DIT   LA COTE                    
LIEU-DIT   COTE D AUTRAN              
LIEU-DIT   LES COTES                  
LIEU-DIT   COUGNIAS                   
LIEU-DIT   LA COULETTE                
LIEU-DIT   COURBIN                    
LIEU-DIT   COURNILLON                 
LIEU-DIT   LE DEFFEND                 
LIEU-DIT   L EICHALEIRET              
LIEU-DIT   LES ESPALUNS               
LIEU-DIT   LE FEIT                    
LIEU-DIT   LES FILAGNES               
LIEU-DIT   FONT DE NAUDI              
LIEU-DIT   FOUENT D ENTREPIERRES      
LIEU-DIT   GALANGE                    
LIEU-DIT   GARDIVOUERE                
LIEU-DIT   LES GASTRES                
LIEU-DIT   LES GRANGES                
LIEU-DIT   LES GUEINES                
LIEU-DIT   L HUBAC ET LE PLANET       
LIEU-DIT   LACOTTE                    
LIEU-DIT   LES LUNIERES               
LIEU-DIT   MOULIN VIEUX               
LIEU-DIT   LES MOUTASSES              
LIEU-DIT   NOTRE DAME                 
LIEU-DIT   PALLUY                     
LIEU-DIT   PIERRE TAMAN               
LIEU-DIT   PIGEONNIER ET LE SERRE     
LIEU-DIT   LES PLANTAOUS              
LIEU-DIT   PRE DE LA LAUZE            
LIEU-DIT   PRE LAURET                 
LIEU-DIT   PRE MARTIN                 
LIEU-DIT   PREDISSEIRE                
LIEU-DIT   LA RA                      
LIEU-DIT   REMOTI                     
LIEU-DIT   LA RIBIERE                 
LIEU-DIT   ROCHE D ANNOT              
LIEU-DIT   LES ROCHERS                
LIEU-DIT   ROUAINE                    
LIEU-DIT   ROUCHASSON                 
LIEU-DIT   ROUYERE                    
LIEU-DIT   LES SAUCHES                
LIEU-DIT   LES SCAFFARELS             
LIEU-DIT   LE SERRE                   
LIEU-DIT   SERRE AUDIER               
LIEU-DIT   SERRE BLANQUET             
LIEU-DIT   SERREFA                    
LIEU-DIT   TRES CLENX                 
LIEU-DIT   VELIMANDE                  
LIEU-DIT   VERDRE                     
LIEU-DIT   LE VERGER                  
LIEU-DIT   LES VERNETS                
LIEU-DIT   VERS LA VILLE              
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE CLOS DE PLATEL          
LIEU-DIT   LES GLAIRES                
LIEU-DIT   QUARTIER DE SARDAIGNE      
LIEU-DIT   BOUCLE DES ETABLES         
LIEU-DIT   PROMENADE DE LA BEITE      
           LOTI SSEMENT SAINT JOSEPH  
PLACE      GRAND PLACE DU MARCHE      
PLACE      DU BARRI                   
PLACE      DU REVELIN                 
RUE        DROITE                     
PLACE      DE LA FONTAINE             
RUE        ST JEAN                    
RUE        BASSE                      
PLACE      DU GERME                   
RUE        DU FOUR                    
RUE        DU MOULIN                  
RUE        DU PEYRARD                 
AVENUE     DES AUCHES                 
RUE        DE L'ABATTOIR              
RUE        DU MAZEL                   
CHEMIN     VERS LA VILLE              
CHEMIN     D ARGENTON                 
AVENUE     SAINT PIERRE               
CHEMIN     DE LA BEITE                
CD         908                        
PLACE      DE L EGLISE                
PLACE      DES 4 CANNES               
AVENUE     DU FOULON                  
AVENUE     DE LA GARE                 
RUE        DES VALLASSES              
PLACE      DE LA MAIRIE               
GR         GRAND RUE                  
RUE        CAPONE                     
RUE        DU COULET                  
           1   RUE  DU FOUR           
RUE        DES MOULINS                
PLACE      DES MOULINS                
PLACE      VERDOLLIN                  
PLACE      DU REVELLY                 
PLACE      DES VALLASSES              
RUE        NOTRE DAME                 
CHEMIN     DES GUEINES                
PLACE      NOTRE DAME                 
CHEMIN     SAINT VINCENT              
CHEMIN     DES AMOUREUX               
CHEMIN     DES LUMIERES               
IMPASSE    DE L'INGENIEUR             
IMPASSE    DE LA LAINERIE             
           COULANCHE                  
RUELLE     DU CANAL                   
RUELLE     DE SARDAIGNE               
IMPASSE    DU FOULON                  
CHEMIN     DU SARRET                  
CHEMIN     MULETIER ENTREVAU/COLMARS  
PLACE      DU COULET                  
CHEMIN     DE LA TOURTOUIRE           
RUE        DES ACACIAS                
BOULEVARD  ST PIERRE                  
           commune :     ARCHAIL                        departement : ALPES DE HAUTE-PROVENCE       
LIEU-DIT   L ADRECH                   
LIEU-DIT   L ARESTE                   
LIEU-DIT   BANASTIERS                 
LIEU-DIT   BEILON                     
LIEU-DIT   COTEAU DE LA TOUR          
LIEU-DIT   LES COUGNES                
LIEU-DIT   LA CROUYE                  
LIEU-DIT   LE DEFFENDS                
LIEU-DIT   LES ESCOMBETTES            
LIEU-DIT   GARGAN ET FARDEE           
LIEU-DIT   LA GAUDINE                 
LIEU-DIT   LA GOURREE                 
LIEU-DIT   LE GOUTA                   
LIEU-DIT   LE HAUT DEFFENDS           
LIEU-DIT   LE HAUT SERRE              
LIEU-DIT   LAMBERT ET BRAMEFAN        
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   NOTRE DAME                 
LIEU-DIT   L ORME                     
LIEU-DIT   LA PEOUILLOUE              
LIEU-DIT   PIERRE PARTIE              
LIEU-DIT   LE PLAN                    
LIEU-DIT   PRES DE DIGNE              
LIEU-DIT   LA RANGLETTE               
LIEU-DIT   LA REYNIERE                
