20151101
94         VAL DE MARNE                  
RUE        ETIENNE DOLET              
PLACE      DE L EUROPE                
RUE        FELIX EBOUE                
RUE        FELIX MOTHIRON             
RUE        DE FLORE                   
PLACE      DU CONFLUENT FRANCE CHINE  
PLACE      FRANCOIS MITTERAND         
RUE        DES GARDONS                
PLACE      DE LA GARE                 
RUE        DE GENEVE                  
RUE        DU GEN DE GAULLE           
AVENUE     DU GENERAL LECLERC         
AVENUE     DU GEN MALLERET JOINVILLE  
PLACE      DES GOUJONS                
RUE        DES GOUJONS                
RUE        DE GRENOBLE                
RUE        GROUPE MANOUCHIAN          
ALLEE      DU HUIT MAI 1945           
MAIL       JACQUES PREVERT            
ALLEE      DES JARDINS                
ALLEE      JEAN BAPTISTE LULLI        
RUE        JEAN BAPTISTE PREUX        
QUAI       JEAN BAPTISTE CLEMENT      
ALLEE      JEAN SEBASTIEN BACH        
RUE        JEAN COLLY                 
RUE        JEAN JACQUES ROUSSEAU      
PLACE      JEAN JAURES                
ALLEE      JEAN MOULIN                
RUE        JOFFRIN                    
RUE        JOSEPH FRANCESCHI          
RUE        JULES CUILLERIER           
RUE        JULES GUESDE               
RUE        KOMITAS                    
RUE        LAFAYETTE                  
CHEMIN     LATERAL                    
RUE        DE LIEGE                   
RUE        DES LILAS                  
RUE        DE LISBONNE                
RUE        DE LONDRES                 
RUE        LOUIS BLANC                
SQUARE     LOUIS BLANC                
RUE        LOUIS WARNIER              
RUE        LOUISE                     
RUE        DE LYON                    
RUE        DE MACON                   
RUE        DE MADRID                  
PLACE      DE LA MAIRIE               
RUE        DE LA MAIRIE               
RUE        MARCEL BOURDARIAS          
RUE        MARCEL BUGE                
RUE        MARCEL SEMBAT              
RUE        MARCELIN BERTHELOT         
RUE        DU MARCHE                  
RUE        MAL DE LATTRE DE TASSIGNY  
RUE        DES MARGUERITES            
ALLEE      MARGUERITE YOURCENAR       
RUE        DE LA MARNE                
RUE        DE MARSEILLE               
ALLEE      MICHEL ANGE                
RUE        MICOLON                    
RUE        DE MILAN                   
ALLEE      MODIGLIANI                 
RUE        MONTESQUIEU                
ALLEE      MOZART                     
RUE        DES MYOSOTIS               
RUE        DE NAPLES                  
RUE        NELSON MANDELA             
RUE        DE NICE                    
RUE        DE NIMES                   
RUE        NOUVELLE                   
RUE        DES OEILLETS               
PLACE      OCHAGAN                    
RUE        OLYMPE DE GOUGES           
PLACE      DU ONZE NOVEMBRE           
RUE        DES PAQUERETTES            
RUE        DU PARC                    
RUE        PARMENTIER                 
RUE        PASTEUR                    
SQUARE     PAUL GABRIEL MEYNET        
RUE        VAILLANT COUTURIER         
RUE        PELLETAN                   
RUE        DE LA PERCHE               
RUE        DES PERDRIX                
PLACE      DU PETIT PONT              
           REDOUTE DES PETITS CARREAU 
RUE        DE PETROGRAD               
QUAI       PIERRE COSMI               
RUE        PIERRE CURIE               
RUE        PIERRE LEROUX              
RUE        PIERRE PHILIPPOT           
RUE        DES PIVOINES               
RUE        DES PONTONS                
RUE        DU PORT A L ANGLAIS        
RUE        PRESIDENT KENNEDY          
ALLEE      DES PREVOYANTS             
RUE        DU QUATORZE JUILLET        
RUE        RASPAIL                    
RUE        RAYMOND JACLARD            
PLACE      DE LA REPUBLIQUE           
ALLEE      DE LA RESISTANCE           
QUAI       DE LA REVOLUTION           
RUE        ROGER GIRODIT              
RUE        ROGER MORDREL              
RUE        DE ROME                    
RUE        DES ROSES                  
SQUARE     SAINT PIERRE               
VILLA      ST LOUIS                   
PLACE      SALVADOR ALLENDE           
PLACE      SAN BENEDETTO DEL TRONTO   
RUE        SANDRIN                    
RUE        DE SEINE                   
CHEMIN     DE LA SENTE DE VILLIERS    
RUE        SIMONE DE BEAUVOIR         
ALLEE      DES SOUPIRS                
RUE        DE LA TANCHE               
SQUARE     DU TERRE PLEIN DE L ECLUSE 
AVENUE     DES TILLEULS               
PLACE      TONY GARNIER               
RUE        DE TOULON                  
RUE        TRAVERSIERE                
RUE        DE TURIN                   
RUE        DE L UNION                 
SQUARE     VAILLANT                   
RUE        DE VERDUN                  
SQUARE     VERON                      
RUE        VERON                      
RUE        VICTOR HUGO                
ALLEE      VICTOR SCHOELCHER          
RUE        DE VIENNE                  
CHEMIN     DE VILLENEUVE ST GEORGES   
SENTIER    DE VILLIERS                
RUE        DU VINGTIEME SIECLE        
RUE        DES VIOLETTES              
RUE        VOLTA                      
RUE        VOLTAIRE                   
           commune :     ARCUEIL                        departement : VAL DE MARNE                  
CITE       CHERCHEFEUILLE             
LIEU-DIT   AQUEDUC DE LA VANNE        
LIEU-DIT   CHEM DE FER DE PARIS A SCE 
LIEU-DIT   LE RICARDO                 
LIEU-DIT   QUARTIER DU FORT           
LIEU-DIT   FORT DE MONTROUGE          
           AQUEDUC DE LA VANNE        
           ACQUEDUC VANNE LOIN ET LUN 
AUTOROUTE  A 6                        
CHEMIN     DE FER DE PARIS A SCE      
LIGN       B RER                      
IMPASSE    ADAM                       
IMPASSE    ALBERT LEGRAND             
RUE        ALBERT LEGRAND             
RUE        ALICE MILLIAT              
RUE        ANATOLE FRANCE             
ALLEE      ANDREE CHEDID              
RUE        ANTOINE BAIF               
RUE        ANTOINE MARIN              
AVENUE     DES AQUEDUCS               
IMPASSE    ARAGO                      
RUE        DE L'ARDENAY               
AVENUE     ARISTIDE BRIAND            
RUE        ARTHUR HONEGGER            
RUE        ASPASIE JULES CARON        
RUE        DE L ASTRONOME             
RUE        AUGUSTE BLANQUI            
RUE        AUGUSTE DELAUNE            
VILLA      BAUDRAN                    
IMPASSE    DU BEL AIR                 
ALLEE      BELLEVUE                   
RUE        BENOIT MALON               
IMPASSE    BERTHOLLET                 
RUE        BERTHOLLET                 
RUE        BESSON                     
IMPASSE    DE LA BLONDE               
RUE        BOULINEAU                  
PASSAGE    BOUTET                     
RUE        BRANLY                     
RUE        CAMILLE BLANC              
PLACE      CAMILLE BLANC              
RUE        CAMILLE DESMOULINS         
PASSAGE    DES CARNOTS                
RUE        DES CARRIERS               
RUE        CAUCHY                     
VILLA      DES CHALETS                
RUE        DES CHAMPS ELYSEES         
AVENUE     DU CHAPERON VERT           
CITE       DU CHAPERON VERT           
CITE       DU CHAPERON VERT 1 AVENUE  
CITE       DU CHAPERON VERT 3 AVENUE  
CITE       DU CHAPERON VERT 5 AVENUE  
CITE       DU CHAPERON VERT 4 AVENUE  
RUE        DU CHEMIN DE FER           
CHEMIN     CHERCHEFEUILLE             
RUE        DE CHINON                  
RUE        DE LA CITADELLE            
VILLA      DE LA CITADELLE            
RUE        CLEMENT ADER               
IMPASSE    CLEMENT ADER               
RUE        DU COLONEL FABIEN          
AVENUE     DE LA CONVENTION           
ALLEE      DE LA CROIX BOSSEE         
RUE        DANIELLE MITTERRAND        
RUE        DARIUS MILHAUD             
IMPASSE    DENIS PAPIN                
RUE        DU DISPENSAIRE             
RUE        DE LA DIV GAL LECLERC      
RUE        DU 19 MARS 1962            
ALLEE      DJANGO REINHARDT           
AVENUE     DU DOCTEUR DURAND          
IMPASSE    DORON                      
IMPASSE    DUROC                      
RUE        DE L EGLISE                
RUE        EMILE BOUGARD              
RUE        EMILE RASPAIL              
RUE        ERIK SATIE                 
IMPASSE    ERIK SATIE                 
RUE        ERNEST RENAN               
RUE        D ESTIENNE D ORVES         
RUE        ETIENNE JODELLE            
RUE        DE L ETOILE                
RUE        EUGENE FOURNIERE           
RUE        FERNAND FOREST             
RUE        FLORENTIN LAREYRE          
RUE        DE LA FONTAINE             
CHEMIN     DE LA FORCE                
IMPASSE    FRANCOIS TRUBERT           
RUE        FRANCOIS TRUBERT           
AVENUE     FRANCOIS VINCENT RASPAIL   
AVENUE     GABRIEL PERI               
IMPASSE    GALILEE                    
RUE        DE LA GARE                 
MAIL       GASTON DOISELET            
RUE        GAY LUSSAC                 
AVENUE     DU GEN MALLERET JOINVILLE  
RUE        DU GENERAL DE GAULLE       
RUE        GEORGES POLITZER           
RUE        GENOVA                     
RUE        GERMAINE TAILLEFER         
ALLEE      DES GRANDES MAISONS        
VILLA      GUSTAVE EDOUARD            
IMPASSE    GUTENBERG                  
PLACE      GUTENBERG                  
RUE        GUY GOUYON DU VERGER       
IMPASSE    GUYTON DE MORVEAU          
RUE        HENRI BARBUSSE             
PLACE      HENRI DIDON                
RUE        DU HUIT MAI 1945           
CITE       DES IRLANDAIS              
VILLA      DES IRLANDAIS              
IMPASSE    JACQUART                   
BOULEVARD  JACQUES DESBROSSES         
RUE        JACQUES GREGOIRE           
PLACE      JEAN BAPTISTE OUDRY        
AVENUE     JEAN JAURES                
PLACE      JEAN MACE                  
AVENUE     JEANNE D ARC               
RUE        JEAN PIERRE TIMBAUD        
RUE        JOACHIM DU BELLAY          
RUE        JULES VERNE                
           LAPLACE SHOP CENTER        
AVENUE     LAPLACE                    
RUE        LAPLACE                    
           METRO LAPLACE              
PLACE      LAVOISIER                  
PLACE      DE LA LIBERATION           
SQUARE     DE LA LIBERATION           
RUE        LOUIS FREBAULT             
ALLEE      LOUISE                     
RUE        LOUNES MATOUB              
RUELLE     DE LA MAISON A LA COLONNE  
RUE        MARGUERITE LAGRANGE        
IMPASSE    MARC SEGUIN                
PLACE      MARCEL CACHIN              
RUE        MARCEL VIGNERON            
IMPASSE    MARIE LOUISE               
RUE        MARIUS BARBIERI            
RUE        MARIUS SIDOBRE             
AVENUE     DES MARTYRS DU 8 FEV 1962  
AVENUE     MASSENET                   
AVENUE     MARX DORMOY                
RUE        MAXIME BACQUET             
RUE        MAXIMILIEN ROBESPIERRE     
RUE        MAURICE HENRI GUILBERT     
RUE        DU MIDI                    
CITE       DU MIDI                    
VILLA      MODERNE                    
RUE        MONGE                      
RUE        MONTMORT                   
PLACE      DES MUSICIENS              
AVENUE     NELSON MANDELA             
RUE        DU 11 NOVEMBRE             
RUE        PASTEUR                    
RUE        PAUL BERT                  
ALLEE      PAUL DOUMER                
AVENUE     PAUL DOUMER                
PLACE      PAUL POENSIN               
RUE        PAUL SIGNAC                
AVENUE     PAUL VAILLANT COUTURIER    
IMPASSE    DES PEUPLIERS              
RUE        PIERRE BROSSOLETTE         
RUE        PIERRE CURIE               
AVENUE     PIERRE RONSARD             
PLACE      DE LA PLEIADE              
AVENUE     DU PDT SALVADOR ALLENDE    
AVENUE     PRIEUR DE COTE D OR        
PASSAGE    DES PUITS                  
RUE        DU QUARTIER DU FORT        
RUE        RAYMOND LEFEBVRE           
RUE        DE REIMS                   
AVENUE     DE LA REPUBLIQUE           
PLACE      DE LA REPUBLIQUE           
RUE        DU RICARDO                 
AVENUE     RICHAUD                    
RUE        DU RIDDER                  
RUE        RIQUET                     
RUE        ROGER SIMON BARBOUX        
ALLEE      SIMONE DE BEAUVOIR         
ALLEE      DES SOPHORAS               
IMPASSE    SOUS LES PRES              
RUE        DE STALINGRAD              
AVENUE     DE STALINGRAD              
RUE        DE STRASBOURG              
RUE        SAINT JUST                 
IMPASSE    SIMON                      
IMPASSE    76 AVE GABRIEL PERI        
IMPASSE    HARDENBERG                 
RUE        THIMONNIER                 
IMPASSE    THIMONNIER                 
ALLEE      DU TILLEUL                 
IMPASSE    39 AVE VINCENT RASPAIL     
CAR        DE LA VACHE NOIRE          
PLACE      DE LA VACHE NOIRE          
RUE        DE LA VALLEE               
RUE        VAUCOULEURS                
SENTIER    DES VAUDENAIRES            
RUE        VICTOR BASCH               
RUE        VICTOR CARMIGNAC           
AVENUE     VICTOR HUGO                
RUE        DE LA VILLAGEOISE          
RUE        DE LA VILLA MELANIE        
AVENUE     VLADIMIR ILLITCH LENINE    
RUE        VOLTAIRE                   
IMPASSE    VUILLEMINOT                
           commune :     BOISSY ST LEGER                departement : VAL DE MARNE                  
MAR        DU BOIS CLARY              
CITE       DU CLOSEAU                 
CITE       DES DOUANES                
RESIDENCE  EDMOND ROSTAND             
RESIDENCE  DU LAC                     
RESIDENCE  L ANGEVINE 1               
RESIDENCE  L ANGEVINE 2               
RESIDENCE  L ANGEVINE 3               
LIEU-DIT   LE BOIS L EGLISE           
LIEU-DIT   LES BRUYERES               
LIEU-DIT   CITE DU CLOSEAU            
LIEU-DIT   LE COUVENT                 
LIEU-DIT   LE LONG DU CHEMIN DE FER   
LIEU-DIT   PARC DE GROSBOIS           
LIEU-DIT   LE PIPLE                   
LIEU-DIT   LA POINTE DE BONNEUIL      
LIEU-DIT   LA RAMPE                   
LIEU-DIT   SOUS LE BOIS DE L EGLISE   
LIEU-DIT   LE TILLOT                  
LIEU-DIT   LA VARENNE VERS BREVANNES  
LIEU-DIT   LA VARENNE VERS SUCY       
LIEU-DIT   LA HAIE GRISELLE           
LIEU-DIT   ZAC DE BOISSY SAINT LEGER  
LIEU-DIT   LE PARC DE BLANCHEREINE    
LIEU-DIT   BOIS NOTRE DAME            
LIEU-DIT   LE FORUM                   
CHEMIN     FER BASTILLE VERNEUIL      
LIGN       RER A                      
           GROUPE SCOLAIRE JACQUES PR 
           CHALET TENNIS              
           CHATEAU                    
           CLINIQUE VETERINAIRE       
           LES COMMUNS                
           COUR 6                     
           COUR 7                     
           COUR 17                    
           COUR 19                    
           COUR 21                    
           COUR  23                   
           COUR 32                    
           COUR 33                    
           COUR 34                    
           COUR 35                    
           COUR 36                    
           COUR 37                    
           COUR 38                    
           COUR 39                    
           COUR FUSHIA                
           COUR ELISA                 
           COUR JAMES WATT            
           COUR LAVATER               
           COUR GLORIEUSE             
           COUR LA PILOT              
           COUR LA PARFAITE           
           COUR LA PLAISANTE          
           COUR TIGRIS                
           LA FAISANDERIE             
           LA GRILLE D HONNEUR        
           LE MANEGE                  
           COUR PHAETON               
           ORANGERIE                  
           PASSEPORT I                
           PASSEPORT J                
           PASSEPORT K                
           PASSEPORT L                
           PASSEPORT M                
           PASSEPORT N                
           PASSEPORT O                
           PASSEPORT P                
           TOURNEBRIDE                
           URANIE A                   
           URANIE B                   
           URANIE C                   
           URANIE D                   
           URANIE E                   
           URANIE F                   
           URANIE G                   
           URANIE H                   
           COUR CONQUERANTE           
RUE        DES ALOUETTES              
RUE        ALBERT GARRY               
RUE        ALEXANDRE RIBOT            
RUE        ANDRE                      
ALLEE      DES ARDENNES               
RUE        BELLEVUE                   
ALLEE      DU BEARN                   
ALLEE      DES BLANCS                 
PLACE      DE LA BOULAIE              
RUE        DES BOULEAUX               
RUE        DE BREVANNES               
AVENUE     DES BRUYERES               
ALLEE      DU CANDIE                  
RUE        DU CEDRE                   
RUE        DES CHAMPS                 
ALLEE      DE CHAMPAGNE               
AVENUE     CHARLES DE GAULLE          
AVENUE     CHARLES EMMANUEL           
PLACE      CHARLES LOUIS              
ALLEE      DES CHARDONNERETS          
AVENUE     DES CHATAIGNIERS           
CITE       DES CHENES                 
ALLEE      DU CHENE                   
PLACE      DE LA CHENAIE              
RUE        CHIROL                     
ALLEE      CLOCHER                    
CHEMIN     CENTRE AERE COMMUNAL       
AVENUE     DU CLOSEAU                 
ALLEE      DES CYPRES                 
           CENTRE COMMERCIAL BOISSY 2 
PLACE      DE LA CYPRIERE             
ALLEE      DES COQUELICOTS            
ALLEE      DE DIANE                   
ALLEE      DES ECUREUILS              
RUE        DE L EGLISE                
PLACE      DE L EGLISE                
ALLEE      DES ERABLES                
RUE        FERNAND BAUDIN             
PLACE      DES ERABLES                
ALLEE      DES F F I                  
RUE        DE LA FONTAINE             
RUE        FIN GUERRE D ALGERIE       
SQUARE     FOURCADE                   
PLACE      DE LA FRENAIE              
CHEMIN     DE GAGNY                   
BOULEVARD  DE LA GARE                 
PLACE      DE LA GARE                 
RUE        GASTON ROULLEAU            
AVENUE     DU GAL LECLERC             
AVENUE     GEORGES BRASSENS           
RUE        GEORGES PICOT              
ALLEE      DES GLYCINES               
ALLEE      DU GRIPPET                 
AVENUE     DE GROSBOIS                
           DOMAINE DE GROSBOIS        
CD         29 FLEURY MEROGIS CHAMPIGN 
RUE        HENRI LEGROS               
ALLEE      DES HETRES                 
AVENUE     HOTTINGUER                 
RUE        DU 8 MAI 1945              
RUE        JACQUES PREVERT            
ALLEE      JEAN ROSTAND               
PLACE      JULES COMBERNOUX           
RUE        LACARRIERE                 
BOULEVARD  LEON REVILLON              
RUE        LOUISE CHENU               
RUE        LOUIS ROUGAGNOU-ANC.MAIRE  
AVENUE     LOUIS WALLE                
RUE        DE LA LUNE                 
RUE        DE MAISON BLANCHE          
PLACE      DU MARCHE DU BOIS CLARY    
PLACE      DU MARECHAL BERTHIER       
RUE        DE MAROLLES                
ALLEE      DU MELEZE                  
ALLEE      MERISIERS                  
ALLEE      MOZART                     
RUE        MERCIERE                   
ALLEE      DES MERLES                 
ALLEE      DES MESANGES               
ROUTE      NATIONALE 19               
CHEMIN     DU NOYER                   
RUE        DES ORMES                  
AVENUE     DU PARC                    
RUE        DE PARIS                   
PLACE      DE LA PEUPLERAIE           
RUE        PIARD                      
RUE        PICASSO                    
PLACE      DE LA PINEDE               
RUE        DES PINSONS                
CHEMIN     DE LA FERME DU PIPLE       
ALLEE      DU PIPLE                   
CHEMIN     DU CHATEAU DU PIPLE        
PLACE      DE LA PLATANERAIE          
ALLEE      DE LA POMPADOUR            
ROUTE      DE LA POMPADOUR            
RUE        DE LA POMPADOUR            
SENTIER    DES PRESSOIRS              
ALLEE      DE LA PRINCESSE            
RUE        DE LA PROCESSION           
AVENUE     DU PROGRES                 
N          19                         
ALLEE      DU RENARD                  
RUE        DE LA REPUBLIQUE           
RUE        ROYALE                     
CR         N 2                        
CR         N 4                        
CR         N 8 DE CHAMPIGNY A VILLEN  
CR         DES GLAISIERES             
RUE        SIMONE                     
PLACE      DE LA SABLIERE             
PLACE      DE LA SAPINIERE            
RUE        DES SABLONS                
RUE        STANISLAS REVILLON         
RUE        STEPHANIE                  
ROUTE      DE SUCY                    
RUE        DE SUCY                    
ALLEE      DU SYCOMORE                
RUE        DU TEMPLE                  
RUE        DE LA TERRASSE             
ALLEE      DES SOURCES                
RUE        TRAVERSIERE                
PLACE      DES TILLEULS               
ALLEE      DES THUYAS                 
RUE        DE VALENTON                
RUE        VALLOU DE VILLENEUVE       
PLACE      DE VERDUN                  
RUE        DE WAGRAM                  
CHEMIN     DU VIEUX COLOMBIER         
ALLEE      DES VIGNES                 
           commune :     BONNEUIL SUR MARNE             departement : VAL DE MARNE                  
LIEU-DIT   L ARCHE                    
LIEU-DIT   LES AUNETTES               
LIEU-DIT   LA BALLASTIERE             
LIEU-DIT   BRETIGNY                   
LIEU-DIT   LES CLAVIZIS               
LIEU-DIT   LES FAUX ROIS              
LIEU-DIT   FORT A FAIRE               
LIEU-DIT   LA FOSSE AUX MOINES        
LIEU-DIT   LES GORRES                 
LIEU-DIT   LES HAUTES VARENNES        
LIEU-DIT   ILE DU MOULIN BATEAU       
LIEU-DIT   LES MARAIS                 
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LE MOULIN BATEAU           
LIEU-DIT   PARC DU RANCY              
LIEU-DIT   LE PETIT PARC              
LIEU-DIT   LES PETITS CARREAUX        
LIEU-DIT   LA PLUMERETTE              
LIEU-DIT   PORT DE BONNEUIL           
LIEU-DIT   LES RATRAITS               
LIEU-DIT   LES VARENNES               
LIEU-DIT   LA VITRE                   
           BRAS DU CHAPITRE           
           LA MARNE                   
AUTOROUTE  A 87                       
DARS       SUD                        
DARS       NORD                       
LIGN       A RER                      
LIGN       SNCF DE GRANDE CEINTURE    
RUISSEAU   RU DE BRETIGNY             
RUISSEAU   DES MARAIS                 
DEVI       C.D.60                     
VOIE       DE DESSERTE ORIENTALE VDM  
RUE        ALEXANDRE GUILLOU          
RUE        ALEXANDER FLEMING          
RUE        ALEXIS CARREL              
RUE        ALFRED GILLET              
RUE        ALBERT GARRY               
RUE        ANATOLE FRANCE             
RUE        ANDRE BAUDEZ               
RUE        ARTHUR HONEGGER            
RUE        AUGUSTE DELAUNE            
AVENUE     AUGUSTE GROSS              
RUE        DES AUNETTES               
RUE        DE L AVENIR                
IMPASSE    DES BEAUX REGARDS          
RUE        DES BEAUX REGARDS          
SENTIER    DES BEAUX REGARDS          
AVENUE     DU BICENTENAIRE 1789-1989  
AVENUE     DES BLEUETS                
AVENUE     DE BOISSY                  
RUE        BOUGLIONE                  
AVENUE     DES BOUTONS D OR           
RUE        DE BRETIGNY                
ROUTE      DE BREVANNES               
AVENUE     DU CENTRE                  
RUE        DES CHAMPS                 
RUE        CHARLES BEAUVAIS           
COUR       DES CHASSELATS             
RUE        DU CHEMIN VERT             
AVENUE     DE CHOISY                  
ALLEE      CLAUDE FRANCOIS            
RUE        DES CLAVIZIS               
AVENUE     DU COLONEL FABIEN          
CITE       DU COLONEL FABIEN          
RUE        DU CDT LOUIS BOUCHET       
CENTRE     CIAL REPUBLIQUE            
CENTRE     CIAL SAINT EXUPERY         
RUE        DE LA COMMUNE              
AVENUE     DE LA CONVENTION 1792-1795 
AVENUE     DES COQUELICOTS            
CD         30                         
ALLEE      DANIEL BALAVOINE           
ROUTE      DE LA DARSE                
RUE        DESIRE DAUTIER             
AVENUE     DU DIX NEUF MARS 1962      
RUE        DU DOCTEUR ALINE PAGES     
AVENUE     DOCTEUR EMILE ROUX         
RUE        DU DOC FERNAND LAMAZE      
RUE        DES ECOLES                 
ALLEE      EDITH PIAF                 
RUE        DE L EGLISE                
VILLA      DE L ENTENTE               
RUE        DE L ESPERANCE             
RUE        D ESTIENNE D ORVES         
RUE        DES FAUX ROIS              
RUE        FERNAND VIDAL              
ROUTE      DU FIEF CORDELIER          
RUE        DU FORT A FAIRE            
IMPASSE    DES FORTES TERRES          
RUE        FOSSE AUX MOINES           
COUR       DU FOULOIR                 
RUE        FREDERIC MISTRAL           
RUE        GABRIEL PERI               
SQUARE     DES GARDES VIGNES          
CAR        DU GEN DE GAULLE           
           GRANDE ALLEE               
AVENUE     DU MAL LECLERC ET SA DIV   
PLACE      GEORGES BRASSENS           
RUE        GEORGES FERRAND            
RUE        GEORGES HARET              
ROUTE      DES GORRES                 
RUE        GUY MOQUET                 
RUE        DU HAMEAU                  
PLACE      HENRI BARBUSSE             
RUE        DU 8 MAI 1945              
ROUTE      DE L ILE BARBIERE          
RUE        DE L ILE SAINT JULIEN      
RUE        JACQUES BREL               
RUE        JACQUES GILBERT COLLET     
RUE        JEAN CATELAS               
VOIE       JEAN SCIANDRA              
